AFFX-BioB-5_at (endogenous control),AFFX-BioB-5_at
Diazepam binding inhibitor (DBI) mRNA,M14200_rna1_at
ASL Argininosuccinate lyase,M14218_at
DCN Decorin,M14219_at
PROS1 Plasma protein S ,M14338_at
COAGULATION FACTOR XIII A CHAIN,M14539_at
CYP11A Cytochrome P450, subfamily XIA (cholesterol side chain cleavage),M14565_at
PYGL Glycogen phosphorylase L (liver form),M14636_at
ITGAV Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51),M14648_at
GB DEF = ISG-54K gene (interferon stimulated gene) encoding a 54 kDA protein, exon 2,M14660_at
FYN FYN oncogene related to SRC, FGR, YES,M14676_at
NGFR Nerve growth factor receptor,M14764_at
RAS-RELATED PROTEIN R-RAS,M14949_at
FCER2 Fc fragment of IgE, low affinity II, receptor for (CD23A),M15059_at
GUSB Glucuronidase, beta,M15182_at
TK1 Thymidine kinase 1, soluble,M15205_at
EIF4E Eukaryotic translation initiation factor 4E,M15353_at
TTR gene (prealbumin) extracted from Human mutant prealbumin gene directly linked to familial amyloidotic polyneuropathy (FAP),M15517_cds5_at
ALDOB Aldolase B, fructose-bisphosphate,M15656_at
RPL44 Ribosomal protein L44,M15661_at
GB DEF = DNA/endogenous human papillomavirus type 16 (HPV) DNA, right flank and viral host junction,M15780_at
PCNA Proliferating cell nuclear antigen,M15796_at
SNRPB2 Small nuclear ribonucleoprotein polypeptide B,M15841_at
LPL Lipoprotein lipase,M15856_at
UMOD Uromodulin (uromucoid, Tamm-Horsfall glycoprotein),M15881_at
GAS Gastrin,M15958_at
C-yes-1 mRNA,M15990_at
LYN V-yes-1 Yamaguchi sarcoma viral related oncogene homolog,M16038_at
MIC2 Antigen identified by monoclonal antibodies 12E7, F21 and O13,M16279_at
GB DEF = Fragile X locus M2C containing an unidentified open reading frame, 3 end,M16282_at
M2 muscarinic acetylcholine receptor gene,M16404_at
MUSCARINIC ACETYLCHOLINE RECEPTOR M4,M16405_at
BETA-HEXOSAMINIDASE ALPHA CHAIN PRECURSOR,M16424_at
Lymphotoxin gene extracted from Human tumor necrosis factor and lymphotoxin genes,M16441_cds1_at
QDPR Dihydropteridine reductase,M16447_at
STS Steroid sulfatase (microsomal),M16505_at
MLR Mineralocorticoid receptor (aldosterone receptor),M16801_at
Homeo box c1 protein, mRNA,M16937_at
AHSG Alpha-2-HS-glycoprotein alpha and beta chain,M16961_at
F5 Coagulation factor V,M16967_at
C8B Complement component 8, beta polypeptide,M16973_at
GNAI1 Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1,M17219_at
PROTHROMBIN PRECURSOR,M17262_at
GB DEF = Gamma-A-crystallin gene (gamma-G5), exon 3,M17316_at
F12 Coagulation factor XII (Hageman factor),M17466_at
Thymosin beta-4 mRNA,M17733_at
BN51T BN51 (BHK21) temperature sensitivity complementing,M17754_at
RPLP0 Ribosomal protein, large, P0,M17885_at
RPLP1 Ribosomal protein, large, P1,M17886_at
40S RIBOSOMAL PROTEIN S17,M18000_at
FATTY ACID-BINDING PROTEIN, INTESTINAL,M18079_at
GIP Gastric inhibitory polypeptide,M18185_at
DMD Dystrophin (muscular dystrophy, Duchenne and Becker types),M18533_at
NCA Non-specific cross reacting antigen,M18728_at
GALT Galactose-1-phosphate uridyltransferase,M18731_at
GJA1P1 gene extracted from Human Hanukah factor serine protease (HuHF) mRNA,M18737_rna1_at
ALPP Alkaline phosphatase, placental (Regan isozyme),M19159_at
ACTG1 Actin, gamma 1,M19283_at
DBT Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex; maple syrup urine disease),M19301_at
Follistatin gene,M19481_at
ATP5B ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide,M19483_at
MPO Myeloperoxidase,M19507_at
78 KD GLUCOSE REGULATED PROTEIN PRECURSOR,M19645_at
GB DEF = Alpha-1-antitrypsin-related protein gene, exons 3, 4 and 5,M19684_at
L-myc gene (L-myc protein) extracted from Human L-myc protein gene,M19720_rna1_at
L-myc gene (L-myc protein) extracted from Human L-myc protein gene,M19720_rna2_at
FGR Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,M19722_at
COX5B Cytochrome c oxidase subunit Vb,M19961_at
Platelet-derived growth factor (PDGFA) A chain gene,M19989_cds1_at
Platelet-derived growth factor (PDGFA) A chain gene,M19989_cds2_at
Interleukin 3 (IL-3) mRNA,M20137_at
F11 Coagulation factor XI (plasma thromboplastin antecedent),M20218_at
CLTA Clathrin light chain A,M20471_at
SPINK1 Serine protease inhibitor, Kazal type 1,M20530_at
ACTA1 Actin, alpha 1, skeletal muscle,M20543_at
GLUCOSE TRANSPORTER TYPE 3, BRAIN,M20681_at
, alpha-2 (VI) collagen,M20777_at
PLI Alpha-2-plasmin inhibitor (alpha-2-PI),M20786_at
APOC1 Apolipoprotein CI,M20902_at
GB DEF = DNA with a hepatitis B virus surface antigen (HBsAg) gene (complete cds) insertion,M20919_at
CALGRANULIN A,M21005_at
Lung phospholipase A-2 (PLA-2) mRNA, clone lung-1(hcDNA),M21056_at
SCYA5 Small inducible cytokine A5 (RANTES),M21121_at
AMD1 S-adenosylmethionine decarboxylase 1,M21154_at
CYBA Cytochrome b-245, alpha polypeptide,M21186_at
INSULIN-DEGRADING ENZYME,M21188_at
SNRPE Small nuclear ribonucleoprotein polypeptide E,M21259_at
KRT5 Keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types),M21389_at
CKM Creatine kinase, muscle,M21494_at
Neuromedin B mRNA,M21551_rna1_at
PDGFRA Platelet-derived growth factor receptor, alpha polypeptide,M21574_at
TCRD T-cell receptor, delta,M21624_at
MYL2 Myosin, light polypeptide 2, regulatory, cardiac, slow,M21812_at
MDU1 Antigen identified by monoclonal antibodies 4F2, TRA1.10, TROP4, and T43,M21904_at
GB DEF = DNA 3 to a rearranged and truncated Ig gamma heavy chain disease (RIV) protein gene,M21934_at
TROPONIN T, FAST SKELETAL MUSCLE ISOFORM BETA,M21984_at
ORPHAN RECEPTOR TR2,M21985_at
GB DEF = Interleukin 2 gene, clone pATtacIL-2C/2TT, clone pATtacIL-2C/2TT,M22005_at
GB DEF = Neural cell adhesion molecule (N-CAM) gene, exon SEC and partial cds,M22092_at
ANPEP Alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13),M22324_at
HSPD1 Heat shock 60 kD protein 1 (chaperonin),M22382_at
PLA2G2A Phospholipase A2, group IIA (platelets, synovial fluid),M22430_at
BMP2 Bone morphogenetic protein 2,M22489_at
BMP4 Bone morphogenetic protein 4,M22490_at
NDUFV2 NADH dehydrogenase (ubiquinone) flavoprotein 2 (24kD),M22538_at
GOT2 Glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2),M22632_at
LYL-1 protein gene,M22638_at
CYTOCHROME C OXIDASE POLYPEPTIDE VA PRECURSOR,M22760_at
CYC1 Cytochrome c-1,M22877_at
TP53 Tumor protein p53 (Li-Fraumeni syndrome),M22898_at
MLC gene (non-muscle myosin light chain) extracted from Human nonmuscle/smooth muscle alkali myosin light chain gene,M22919_rna2_at
PPGB Protective protein for beta-galactosidase (galactosialidosis),M22960_at
CYB5 Cytochrome b-5,M22976_at
RAP1A RAP1A, member of RAS oncogene family,M22995_at
ATP2A2 ATPase, Ca++ transporting, cardiac muscle, slow twitch  2,M23114_at
Transposon-like element mRNA,M23161_at
CD33 CD33 antigen (differentiation antigen),M23197_at
CAPN2 Calpain, large polypeptide L2,M23254_at
HEXB Hexosaminidase B (beta polypeptide),M23294_at
RASA1 GTPase-activating protein ras p21 (RASA),M23379_at
GB DEF = Alpha 2 adrenergic receptor gene,M23533_at
NPM1 Nucleophosmin (nucleolar phosphoprotein B23, numatrin),M23613_at
ADRENODOXIN PRECURSOR,M23668_at
Alpha-tubulin mRNA,M24194_at
MYL3 Myosin, light polypeptide 3, alkali; ventricular, skeletal, slow,M24248_at
PTHLH gene (parathyroid hormone-like protein A) extracted from Human parathyroid hormone-like protein (PLP) gene,M24351_cds2_at
HLA-DQB1 Major histocompatibility complex, class II, DQ beta 1,M24364_at
PTMS Parathymosin,M24398_at
CTRB1 Chymotrypsinogen B1,M24400_at
ALPL Alkaline phosphatase, liver/bone/kidney,M24439_at
PULMONARY SURFACTANT-ASSOCIATED PROTEIN B PRECURSOR,M24461_at
G6PD Glucose-6-phosphate dehydrogenase,M24470_at
IFI56 Interferon-induced protein 56,M24594_at
THRA Thyroid hormone receptor, alpha (avian erythroblastic leukemia viral (v-erb-a) oncogene homolog),M24899_at
ACPP Acid phosphatase, prostate,M24902_at
60-kdal ribonucleoprotein (Ro) mRNA,M25077_at
THYROTROPIN BETA CHAIN PRECURSOR,M25164_at
ELK1 ELK1, member of ETS oncogene family,M25269_at
SELL Selectin L (lymphocyte adhesion molecule 1),M25280_at
SELP Selectin P (granule membrane protein 140kD, antigen CD62),M25322_at
PTPN2 Protein tyrosine phosphatase, non-receptor type 2,M25393_at
GB DEF = Kallikrein mRNA, clone clone phKK25,M25629_at
G2/MITOTIC-SPECIFIC CYCLIN B1,M25753_at
SECRETOGRANIN II PRECURSOR,M25756_at
ATP6B1 ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta polypeptide, 56/58kD, isoform 1,M25809_at
PF4 Platelet factor 4,M25897_at
CGMP phosphodiesterase alpha subunit (CGPR-A) mRNA,M26061_at
IL2RB Interleukin 2 receptor beta chain,M26062_at
Platelet factor 4 varation 1 (PF4var1) gene,M26167_rna1_at
COL4A1 gene (alpha-1 type IV collagen) extracted from Human alpha-1 collagen type IV gene,M26576_cds2_at
DEFA1 Defensin, alpha 1, myeloid-related sequence ,M26602_at
HOMEOBOX PROTEIN HOX-A5,M26679_at
LMO1 LIM domain only 1 (rhombotin 1),M26682_at
SCYA2 Small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sig-je),M26683_at
UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1,M26880_at
TYR Tyrosinase (oculocutaneous albinism IA),M27160_at
CD8A CD8 antigen, alpha polypeptide (p32),M27161_at
VEGF Vascular endothelial growth factor,M27281_at
GB DEF = Oncostatin M gene, exon 3,M27288_at
INTERLEUKIN-1 RECEPTOR, TYPE I PRECURSOR,M27492_at
GNAI1 Alternative guanine nucleotide-binding regulatory protein (G) alpha-inhibitory-subunit,M27543_at
SLC4A1 Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3),M27819_at
Endogenous retroviral protease mRNA,M27826_at
ZNF84 Zinc finger protein 84 (HPF2),M27878_at
CST3 Cystatin C (amyloid angiopathy and cerebral hemorrhage),M27891_at
RAS-RELATED PROTEIN RAB-1A,M28209_at
GB DEF = GTP-binding protein (RAB3A) mRNA,M28210_at
RAS-RELATED PROTEIN RAB-4A,M28211_at
RAB6 RAB6, member RAS oncogene family,M28212_at
GB DEF = GTP-binding protein (RAB3B) mRNA,M28214_at
RAS-RELATED PROTEIN RAB-5A,M28215_at
LDLR Low density lipoprotein receptor (familial hypercholesterolemia),M28219_at
ITGA2 Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor),M28249_at
NADH-CYTOCHROME B5 REDUCTASE,M28713_at
CD1A CD1a antigen (thymocyte antigen),M28825_at
CD1B CD1b antigen (thymocyte antigen),M28826_at
CD1C CD1c antigen (thymocyte antigen),M28827_at
GRANZYME B PRECURSOR,M28879_at
IL1A Interleukin 1, alpha,M28983_at
HNRPA2B1 Heterogeneous nuclear ribonucleoprotein A2/B1,M29064_at
LIPC Lipase, hepatic,M29194_at
GC-RICH SEQUENCE DNA-BINDING FACTOR,M29204_at
MAG Myelin-associated glycoprotein,M29273_at
CARBONIC ANHYDRASE III,M29458_at
Recombination activating protein (RAG-1) gene,M29474_at
Translational initiation factor 2 beta subunit (elF-2-beta) mRNA,M29536_at
CARCINOEMBRYONIC ANTIGEN PRECURSOR,M29540_at
SERINE/THREONINE PROTEIN PHOSPHATASE 2B CATALYTIC SUBUNIT, BETA ISOFORM,M29550_at
SERINE/THREONINE PROTEIN PHOSPHATASE 2B CATALYTIC SUBUNIT, BETA ISOFORM,M29551_at
ZNF7 Zinc finger protein 7 (KOX 4, clone HF.16),M29580_at
ZNF8 Zinc finger protein 8 (clone HF.18),M29581_at
IL7R Interleukin 7 receptor,M29696_at
FUCA1 Fucosidase, alpha-L- 1, tissue,M29877_at
OAT Ornithine aminotransferase (gyrate atrophy),M29927_at
Steroid receptor (TR2-11) mRNA,M29960_at
MGMT 6-O-methylguanine-DNA methyltransferase (MGMT),M29971_at
IL9 Interleukin 9,M30135_at
CETP Cholesteryl ester transfer protein, plasma,M30185_at
NID Nidogen (enactin),M30269_at
UBIQUITIN CARBOXYL-TERMINAL HYDROLASE ISOZYME L3,M30496_at
PPP3CB Calcineurin B,M30773_at
MX2 Myxovirus (influenza) resistance 2, homolog of murine,M30818_at
TCRG T cell receptor gamma chain,M30894_at
ATP-DEPENDENT DNA HELICASE II, 86 KD SUBUNIT,M30938_at
MYH9 Myosin, heavy polypeptide 9, non-muscle,M31013_at
CYTOCHROME P450 XVIIA1,M31153_at
PRKAR2B Protein kinase, cAMP-dependent, regulatory, type II, beta,M31158_at
TUMOR NECROSIS FACTOR-INDUCIBLE PROTEIN TSG-6 PRECURSOR,M31165_at
PTX3 Pentaxin-related gene, rapidly induced by IL-1 beta,M31166_at
ECGF1 Endothelial differentiation protein (edg-1),M31210_at
Oncoprotein 18 (Op18) gene,M31303_rna1_at
GNB3 Guanine nucleotide binding protein (G protein), beta polypeptide 3,M31328_at
Ribosomal protein S24,M31520_at
HLA-DNA Major histocompatibility complex, class II, DN alpha,M31525_at
PHKG2 Phosphorylase kinase, gamma 2 (testis),M31606_at
X BOX BINDING PROTEIN-1,M31627_at
HPRT1 Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome),M31642_at
SHBG Sex hormone-binding globulin,M31651_at
GT mitochondrial solute carrier protein homologue mRNA,M31659_at
PRLR Prolactin receptor,M31661_at
INHBB Inhibin, beta B (activin AB beta polypeptide),M31682_at
ERCC3 DNA repair helicase ERCC3,M31899_at
PERFORIN 1 PRECURSOR,M31951_at
ALDH1 Aldehyde dehydrogenase 1, soluble,M31994_at
NCF2 Neutrophil cytosolic factor 2 (65kD, chronic granulomatous disease, autosomal 2),M32011_at
GB DEF = H19 RNA gene,M32053_at
SRD5A1 Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1),M32313_at
TNFR2 Tumor necrosis factor receptor 2 (75kD),M32315_at
ICAM2 Intercellular adhesion molecule 2,M32334_at
ARSB Arylsulfatase B,M32373_at
PLACENTAL PROTEIN 11 PRECURSOR,M32402_at
Protein kinase (JNK2) mRNA,M32405_at
RPS11 Ribosomal protein S11,M32598_at
STATH Statherin,M32639_at
SRI Sorcin,M32886_at
Fc-epsilon-receptor gamma-chain mRNA,M33195_at
VCL Vinculin,M33308_at
PRKAR1A CAMP-dependent protein kinase regulatory subunit type I,M33336_at
Cell adhesion protein (SQM1) mRNA,M33374_at
PHOSDUCIN,M33478_at
LARGE PROLINE-RICH PROTEIN BAT2,M33518_at
LARGE PROLINE-RICH PROTEIN BAT3,M33521_at
GB DEF = Lymphocyte-specific protein 1 (LSP1) mRNA,M33552_at
COL4A2 Collagen, type IV, alpha 2,M33653_at
26-kDa cell surface protein TAPA-1 mRNA,M33680_at
ODC1 Ornithine decarboxylase 1,M33764_at
MX1 Myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78),M33882_at
CA1 Carbonic anhydrase I,M33987_at
GB DEF = Alpha-2-adrenergic receptor (alpha-2 c2) gene,M34041_at
LTBP1 Latent transforming growth factor beta binding protein 1,M34057_at
CDC25C Cell division cycle 25C,M34065_at
PROBABLE 26S PROTEASE SUBUNIT TBP-1,M34079_at
CLAPB1 Clathrin-associated/assembly/adaptor protein, large, beta 1,M34175_at
PRKACB Protein kinase, cAMP-dependent, catalytic, beta,M34181_at
CAMP-DEPENDENT PROTEIN KINASE, GAMMA-CATALYTIC SUBUNIT,M34182_at
IVD Isovaleryl Coenzyme A dehydrogenase,M34192_at
ERBB3 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 {alternative products},M34309_at
ITGA2B Integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B),M34344_at
GLB1 Beta-D-galactosidase,M34423_at
IDO Indole 2,3-dioxygenase,M34455_at
FKBP1 FK506-binding protein 1 (12kD),M34539_at
PLCG1 Phospholipase C, gamma 1 (formerly subtype 148),M34667_at
PTPRA Protein tyrosine phosphatase, receptor type, alpha polypeptide,M34668_at
FACTOR VIII INTRON 22 PROTEIN,M34677_at
GB DEF = M1 gene for muscarinic acetylcholine receptor,M35128_at
GB DEF = Integrin B-6 mRNA,M35198_at
TUMOR-ASSOCIATED ANTIGEN CO-029,M35252_at
GB DEF = Tyrosine kinase arg gene mRNA,M35296_at
RALB V-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein),M35416_at
FUT1 Fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, Bombay phenotype included),M35531_at
INSULIN-LIKE GROWTH FACTOR BINDING PROTEIN 3 PRECURSOR,M35878_at
LIG1 Ligase I, DNA, ATP-dependent,M36067_at
DNA-REPAIR PROTEIN XRCC1,M36089_at
SYNAPTOBREVIN 1,M36200_at
SYNAPTOBREVIN 2,M36205_at
ARF4 ADP-ribosylation factor 4,M36341_at
HPX Hemopexin,M36803_at
CD53 CD53 antigen,M37033_at
ATP5 ATP synthase, H+ transporting, mitochondrial,M37104_at
Ras inhibitor mRNA, 3 end,M37190_at
COUP TRANSCRIPTION FACTOR,M37197_at
GB DEF = Ig superfamily cytotoxic T-lymphocyte-associated protein (CTLA-4) gene, last exon,M37245_at
GOT1 Glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1),M37400_at
CSF1 Colony-stimulating factor 1 (M-CSF),M37435_at
H2AZ H2AZ histone,M37583_at
PAM Peptidylglycine alpha-amidating monooxygenase,M37721_at
GB DEF = Neurotrophin-3 (NT-3) gene,M37763_at
CD48 CD48 antigen (B-cell membrane protein),M37766_at
CD28 gene (glycoprotein CD28) extracted from Human T-cell membrane glycoprotein CD28 mRNA,M37815_cds1_at
PROTEIN FGF-5 PRECURSOR,M37825_at
Slow twitch skeletal muscle/cardiac muscle troponin C gene,M37984_rna1_at
S100A10 S100 calcium-binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11)),M38591_at
CD9 CD9 antigen,M38690_at
PLP Proteolipid protein (Pelizaeus-Merzbacher disease, spastic paraplegia 2, uncomplicated),M54927_at
ATRIAL NATRIURETIC FACTOR PRECURSOR,M54951_at
K-ras oncogene protein mRNA,M54968_at
CD72 CD72 antigen,M54992_at
PPBP Connective tissue activation peptide III,M54995_at
ACHE Acetylcholinesterase (YT blood group),M55040_at
SYNAPTOTAGMIN I,M55047_at
NCF1 47 kD autosomal chronic granulomatous disease protein,M55067_at
CFTR Cystic fibrosis conductance regulator,M55131_at
FAH Fumarylacetoacetate,M55150_at
PROTEIN-GLUTAMINE GAMMA-GLUTAMYLTRANSFERASE,M55153_at
AGC1 Aggrecan 1 (chondroitin sulfate proteoglycan 1, large aggregating proteoglycan, antigen identified by monoclonal antibody A0122),M55172_at
LAMC1 Laminin, gamma 1 (formerly LAMB2),M55210_at
CSNK2A1 Casein kinase 2, alpha 1 polypeptide,M55265_at
EVI2A PROTEIN PRECURSOR TROPIC VIRAL INTEGRATION SITE 2A PROTEIN),M55267_at
CSNK2A2 Casein kinase 2, alpha prime polypeptide,M55268_at
Protein kinase C-L (PRKCL) mRNA,M55284_at
GB DEF = IgE chain, last 2 exons,M55420_at
SLC2A5 Solute carrier family 2 (facilitated glucose transporter), member 5,M55531_at
GBP1 Guanylate binding protein 1, interferon-inducible, 67kD,M55542_at
INTERFERON-INDUCED GUANYLATE-BINDING PROTEIN 2,M55543_at
MMP2 Matrix metalloproteinase 2 (gelatinase A, 72kD gelatinase, 72kD type IV collagenase),M55593_at
MGAT1 N-acetylglucosaminyltransferase I,M55621_at
VITAMIN K-DEPENDENT PROTEIN Z PRECURSOR,M55671_at
ME2 Malic enzyme 2, mitochondrial,M55905_at
GB DEF = Membrane glycoprotein gp130 mRNA,M57230_at
GB DEF = Parathyroid hormone-related peptide (PTHRP) gene, exons 1A, 1B, 1C, and 2,M57293_at
PTN Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1),M57399_at
GB DEF = Urate oxidase (UOX) gene, exon 5,M57471_at
SCYA1 gene (secreted protein I-309) extracted from Human secreted protein (I-309) gene,M57506_rna1_at
ARF5 ADP-ribosylation factor 5,M57567_at
GLI3 PROTEIN,M57609_at
LGALS3 Lectin, galactoside-binding, soluble, 3 (galectin 3) (NOTE: redefinition of symbol),M57710_at
EPH-RELATED RECEPTOR TYROSINE KINASE LIGAND 1 PRECURSOR,M57730_at
TCF1 Transcription factor 1, hepatic; LF-B1, hepatic nuclear factor (HNF1), albumin proximal factor,M57732_at
ARF6 ADP-ribosylation factor 6,M57763_at
CA6 Carbonic anhydrase VI,M57892_at
UBE1 Ubiquitin activating enzyme E1,M58028_at
Membrane-associated protein (HEM-1) mRNA,M58285_at
ZNF42 Zinc finger protein 42 (myeloid-specific retinoic acid-responsive),M58297_at
SYN1 gene (synapsin I) extracted from Human synapsin I (SYN1) gene,M58378_cds1_at
RPS4Y Ribosomal protein S4, Y-linked,M58459_at
CEREBELLIN 1 PRECURSOR,M58583_at
FUT4 Fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific),M58597_at
Heparin cofactor II (HCF2) gene, exons 1 through 5,M58600_rna1_at
NFKB1 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105),M58603_at
TYROSINE-PROTEIN KINASE RECEPTOR ECK PRECURSOR,M59371_at
TNFAIP1 Tumor necrosis factor alpha inducible protein A20,M59465_at
S-100 PROTEIN, BETA CHAIN,M59488_at
TISSUE FACTOR PATHWAY INHIBITOR PRECURSOR,M59499_at
NATURAL KILLER CELLS PROTEIN 4 PRECURSOR,M59807_at
C4A Complement component 4A,M59815_at
CSF3R Colony stimulating factor 3 receptor (granulocyte),M59820_at
GB DEF = MHC class III HSP70-HOM gene (HLA),M59829_at
HEAT SHOCK 70 KD PROTEIN 1,M59830_at
ITGA3 Integrin alpha-3 subunit,M59911_at
SMPD1 Sphingomyelin phosphodiesterase 1, acid lysosomal (acid sphingomyelinase),M59916_at
CSF2RB Colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage),M59941_at
MGF Mast cell growth factor,M59964_at
PTGS1 Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase),M59979_at
Heparin binding protein (HBp17) mRNA,M60047_at
HRC Histidine-rich calcium binding protein,M60052_at
GALT Galactose-1-phosphate uridyl transferase,M60091_at
AMP DEAMINASE 1,M60092_at
Testicular H1 histone (H1) gene,M60094_rna1_at
HLA-DQB1 gene extracted from Human guanine nucleotide-binding regulatory protein (Go-alpha) gene,M60165_cds1_at
DTR Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor),M60278_at
EPB42 Erythrocyte membrane protein band 4.2,M60298_at
GB DEF = Alpha-1 collagen type II gene, exons 1, 2 and 3,M60299_at
Transforming growth factor-beta (tgf-beta) mRNA,M60314_at
BONE MORPHOGENETIC PROTEIN 6 PRECURSOR,M60315_at
PRM1 Protamine 1,M60331_at
EPOR Erythropoietin receptor,M60459_at
DCK Deoxycytidine kinase,M60527_at
TGFB3 gene (transforming growth factor-beta 3) extracted from Human transforming growth factor beta-3 gene, 5 end,M60556_rna2_at
FPR1 Formyl peptide receptor 1,M60626_at
Homeobox gene,M60721_at
RIBOSOMAL PROTEIN S6 KINASE,M60724_at
GB DEF = Histone H1 (H1F4) gene,M60748_at
GB DEF = Histone H4 (H4) gene,M60749_at
GB DEF = Histone H2A.1 (H2A) gene,M60752_at
EVI2B PROTEIN PRECURSOR TROPIC VIRAL INTEGRATION SITE 2B PROTEIN),M60830_at
RPS16 Ribosomal protein S16,M60854_at
Nucleolin gene,M60858_rna1_at
Surface antigen mRNA,M60922_at
Activator protein 2B (AP-2B) mRNA,M61156_at
BDNF Brain-derived neurotrophic factor,M61176_at
CLEAVAGE SIGNAL-1 PROTEIN,M61199_at
EPB41 Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked),M61733_at
TUBG Tubulin, gamma polypeptide,M61764_at
PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY ALPHA SUBUNIT,M61906_at
LAMB1 Laminin B1 chain,M61916_at
Growth/differentiation factor 1 (GDF-1) mRNA,M62302_at
Modulator recognition factor I (MRF-1) mRNA, 3 end,M62324_at
MCC Mutated in colorectal cancers,M62397_at
GABRR1 Gamma-aminobutyric acid (GABA) receptor, rho 1,M62400_at
IGFBP6 Insulin-like growth factor binding protein 6,M62402_at
F2R Coagulation factor II (thrombin) receptor,M62424_at
C4BPA Complement component 4-binding protein, alpha,M62486_at
C5R1 Complement component 5 receptor 1 (C5a ligand),M62505_at
ATP6C Vacuolar H+ ATPase proton channel subunit,M62762_at
NAGA N-acetylgalactosaminidase, alpha-,M62783_at
SSA1 Sjogren syndrome antigen A1 (52kD, ribonucleoprotein autoantigen SS-A/Ro),M62800_at
TCF6L1 Transcription factor 6-like 1 (mitochondrial transcription factor 1-like),M62810_at
Transcription factor ETR101 mRNA,M62831_at
AOAH Acyloxyacyl hydrolase (neutrophil),M62840_at
PARANEOPLASTIC ENCEPHALOMYELITIS ANTIGEN HUD,M62843_at
RDS Retinal degeneration slow,M62958_at
ALOX12 Arachidonate 12-lipoxygenase,M62982_at
Thyroid autoantigen (truncated actin-binding protein) mRNA,M62994_at
CTSD Cathepsin D (lysosomal aspartyl protease),M63138_at
GIF Polymeric immunoglobulin receptor,M63154_at
AKT1 V-akt murine thymoma viral oncogene homolog 1,M63167_at
AMFR Autocrine motility factor receptor,M63175_at
TARS Threonyl-tRNA synthetase,M63180_at
CDR2 Cerebellar degeneration-related protein (62kD),M63256_at
GB DEF = 5-lipoxygenase activating protein (FLAP) gene, exon 5,M63262_at
CLU Clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2; apolipoprotein J),M63379_at
Desmin gene,M63391_rna1_at
MATRIN 3,M63483_at
RPA1 Replication protein A1 (70kD),M63488_at
PPIB Peptidylprolyl isomerase B (cyclophilin B),M63573_at
THYROLIBERIN PRECURSOR,M63582_at
TAL1 T-cell acute lymphocytic leukemia 1 (NOTE: redefinition of symbol),M63589_at
PLN Phospholamban,M63603_at
MOG Myelin oligodendrocyte glycoprotein,M63623_at
HIGH AFFINITY IMMUNOGLOBULIN GAMMA FC RECEPTOR I A FORM PRECURSOR,M63835_at
GB DEF = Transcriptional enhancer factor (TEF1) DNA,M63896_at
GNA15 Guanine nucleotide binding protein (G protein), alpha 15 (Gq class),M63904_at
CD27 CD27 antigen (T cell activation antigen),M63928_at
LRPAP1 Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1,M63959_at
Gastric H,K-ATPase catalytic subunit gene,M63962_rna1_at
ALDEHYDE DEHYDROGENASE, MITOCHONDRIAL X PRECURSOR,M63967_at
FMO1 Flavin-containing monooxygenase 1,M64082_at
High density lipoprotein binding protein (HBP) mRNA,M64098_at
GAMMA-GLUTAMYLTRANSPEPTIDASE 5 PRECURSOR,M64099_at
Udulin 1 mRNA, 3 end,M64108_at
TYROSINE-PROTEIN KINASE JAK1,M64174_at
