AFFX-MurIL2_at (spiked control),AFFX-MurIL2_at
Cluster Incl. L10126:Human serine/threonine kinase receptor-2-3 (SKR2-3) mRNA, complete cds /cds=(0,1463) /gb=L10126 /gi=558102 /ug=Hs.99954 /len=1665,34055_at
Cluster Incl. L10126:Human serine/threonine kinase receptor-2-3 (SKR2-3) mRNA, complete cds /cds=(0,1463) /gb=L10126 /gi=558102 /ug=Hs.99954 /len=1665,34056_g_at
Cluster Incl. Z22536:Homo sapiens ALK-4 mRNA, complete CDS /cds=(0,1517) /gb=Z22536 /gi=402188 /ug=Hs.99954 /len=2333,34415_at
Cluster Incl. X57110:Human mRNA for c-cbl proto-oncogene /cds=(148,2868) /gb=X57110 /gi=29730 /ug=Hs.99980 /len=3090,34416_at
Cluster Incl. AL049437:Homo sapiens mRNA; cDNA DKFZp586E1120 (from clone DKFZp586E1120) /cds=UNKNOWN /gb=AL049437 /gi=4500220 /ug=Hs.100292 /len=2124,34417_at
Cluster Incl. AB020709:Homo sapiens mRNA for KIAA0902 protein, complete cds /cds=(456,3137) /gb=AB020709 /gi=4240292 /ug=Hs.100527 /len=4349,34418_at
Cluster Incl. U92074:Human RecA-like protein (hREC2) mRNA, complete cds /cds=(70,1122) /gb=U92074 /gi=2262208 /ug=Hs.100669 /len=1768,34419_at
Cluster Incl. U84763:Homo sapiens UCP3 mRNA, complete cds /cds=(153,1091) /gb=U84763 /gi=2183020 /ug=Hs.101337 /len=1231,34420_at
Cluster Incl. U84763:Homo sapiens UCP3 mRNA, complete cds /cds=(153,1091) /gb=U84763 /gi=2183020 /ug=Hs.101337 /len=1231,34421_g_at
Cluster Incl. U82818:Homo sapiens UCP3S mRNA, complete cds /cds=(153,980) /gb=U82818 /gi=2183017 /ug=Hs.101337 /len=1122,34422_r_at
Cluster Incl. AL080065:Homo sapiens mRNA; cDNA DKFZp564J102 (from clone DKFZp564J102) /cds=(0,1073) /gb=AL080065 /gi=5262471 /ug=Hs.101735 /len=1226,34423_at
Cluster Incl. AB020655:Homo sapiens mRNA for KIAA0848 protein, complete cds /cds=(111,3044) /gb=AB020655 /gi=4240184 /ug=Hs.101745 /len=4220,34424_at
Cluster Incl. AF031469:Homo sapiens MHC class I related protein 1 isoform D (MR1D) mRNA, complete cds /cds=(0,737) /gb=AF031469 /gi=4104081 /ug=Hs.101840 /len=2030,34425_at
Cluster Incl. U22963:Human class I histocompatibility antigen-like protein mRNA, complete cds /cds=(5,1030) /gb=U22963 /gi=940353 /ug=Hs.101840 /len=1263,34426_at
Cluster Incl. U22963:Human class I histocompatibility antigen-like protein mRNA, complete cds /cds=(5,1030) /gb=U22963 /gi=940353 /ug=Hs.101840 /len=1263,34427_g_at
Cluster Incl. D50312:Human mRNA for uKATP-1, complete cds /cds=(270,1544) /gb=D50312 /gi=1109633 /ug=Hs.102308 /len=1747,34428_at
Cluster Incl. AC005775:Homo sapiens chromosome 19, cosmid F20237 /cds=(10,1158) /gb=AC005775 /gi=3702306 /ug=Hs.102598 /len=1541,34429_at
Cluster Incl. U70732:Human glutamate pyruvate transaminase (GPT) gene, complete cds /cds=(267,1757) /gb=U70732 /gi=1763095 /ug=Hs.103502 /len=1924,34430_at
Cluster Incl. AF061054:Homo sapiens estrogen receptor beta 4 splice variant mRNA, partial cds /cds=(0,221) /gb=AF061054 /gi=3094024 /ug=Hs.103504 /len=659,34431_at
Cluster Incl. AF051325:Homo sapiens SH3 domain containing adaptor protein (SCAP) mRNA, complete cds /cds=(116,1231) /gb=AF051325 /gi=4091781 /ug=Hs.103527 /len=1565,34432_at
Cluster Incl. AF035299:Homo sapiens clone 23863 mRNA, partial cds /cds=(0,1531) /gb=AF035299 /gi=2661055 /ug=Hs.103854 /len=1953,34433_at
Cluster Incl. AB018249:Homo sapiens gene for CC chemokine LEC, complete cds /cds=(105,467) /gb=AB018249 /gi=4033626 /ug=Hs.10458 /len=1532,34434_at
Cluster Incl. AB008775:Homo sapiens AQP9 mRNA for aquaporin 9, complete cds /cds=(216,1103) /gb=AB008775 /gi=2887406 /ug=Hs.104624 /len=2878,34435_at
Cluster Incl. U90545:Human sodium phosphate transporter (NPT4) mRNA, complete cds /cds=(376,1581) /gb=U90545 /gi=2062691 /ug=Hs.104635 /len=1780,34436_at
Cluster Incl. U82469:Human tubby related protein 2 (TULP2) mRNA, complete cds /cds=(93,1655) /gb=U82469 /gi=2072163 /ug=Hs.104636 /len=1702,34437_at
Cluster Incl. U71364:Human serine proteinase inhibitor (P19) mRNA, complete cds /cds=(113,1243) /gb=U71364 /gi=1613849 /ug=Hs.104879 /len=1626,34438_at
Cluster Incl. AF024714:Homo sapiens interferon-inducible protein (AIM2) mRNA, complete cds /cds=(245,1276) /gb=AF024714 /gi=2558941 /ug=Hs.105115 /len=1485,34439_at
Cluster Incl. L77571:Homo sapiens DGS-A mRNA, 3  end /cds=UNKNOWN /gb=L77571 /gi=1377757 /ug=Hs.106311 /len=2309,34440_at
Cluster Incl. AF052090:Homo sapiens clone 23950 mRNA sequence /cds=UNKNOWN /gb=AF052090 /gi=3360396 /ug=Hs.106620 /len=1242,34441_at
Cluster Incl. U72943:U72943 Homo sapiens cDNA /gb=U72943 /gi=5763294 /ug=Hs.106642 /len=1667,34442_at
Cluster Incl. R61362:yh15c05.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-37870 /clone_end=3  /gb=R61362 /gi=832057 /ug=Hs.106642 /len=475,34443_at
Cluster Incl. Y08902:Homo sapiens mRNA for hypothetical protein (clone c-0xb04; 23766) /cds=(268,603) /gb=Y08902 /gi=3808150 /ug=Hs.106688 /len=2441,34444_at
Cluster Incl. AB007940:Homo sapiens mRNA for KIAA0471 protein, complete cds /cds=(412,1524) /gb=AB007940 /gi=3413903 /ug=Hs.107325 /len=6834,34445_at
Cluster Incl. AL049701:Human gene from PAC 433G19, chromosome 1 /cds=(0,370) /gb=AL049701 /gi=4678835 /ug=Hs.107325 /len=648,34446_at
Cluster Incl. U62433:Human nicotinic acetylcholine receptor alpha4 subunit precursor, mRNA, complete cds /cds=(231,2114) /gb=U62433 /gi=1458113 /ug=Hs.10734 /len=3343,34447_at
Cluster Incl. U13021:Human positive regulator of programmed cell death ICH-1L (Ich-1) mRNA, complete cds /cds=(13,1320) /gb=U13021 /gi=537291 /ug=Hs.108131 /len=1456,34448_s_at
Cluster Incl. U13022:Human negative regulator of programmed cell death ICH-1S (Ich-1) mRNA, complete cds /cds=(88,1026) /gb=U13022 /gi=537293 /ug=Hs.108131 /len=2167,34449_at
Cluster Incl. M73489:Human heat-stable enterotoxin receptor mRNA, complete cds /cds=(48,3269) /gb=M73489 /gi=338501 /ug=Hs.1085 /len=3745,34450_at
Cluster Incl. AI190165:qd57d10.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1733587 /clone_end=3  /gb=AI190165 /gi=3741374 /ug=Hs.108931 /len=794,34451_at
Cluster Incl. X95237:H.sapiens mRNA for cysteine-rich secretory protein-1 /cds=(73,822) /gb=X95237 /gi=1262814 /ug=Hs.109620 /len=1868,34452_at
Cluster Incl. H19081:yn51e03.r1 Homo sapiens cDNA, 5  end /clone=IMAGE-171964 /clone_end=5  /gb=H19081 /gi=885321 /ug=Hs.110194 /len=388,34453_at
Cluster Incl. U32576:Human apolipoprotein apoC-IV (APOC4) gene, complete cds /cds=(40,423) /gb=U32576 /gi=975892 /ug=Hs.110675 /len=613,34454_r_at
Cluster Incl. AL080125:Homo sapiens mRNA; cDNA DKFZp572P0920 (from clone DKFZp572P0920) /cds=(0,1695) /gb=AL080125 /gi=5262559 /ug=Hs.110956 /len=2171,34455_at
Cluster Incl. AB007296:Homo sapiens mRNA for hGLI2, complete cds, clone-hGli2b /cds=(571,4296) /gb=AB007296 /gi=3061315 /ug=Hs.111867 /len=4909,34456_s_at
Cluster Incl. U76010:Human putative zinc transporter ZnT-3 (ZnT-3) mRNA, complete cds /cds=(83,1249) /gb=U76010 /gi=1763375 /ug=Hs.111967 /len=1989,34457_at
Cluster Incl. AA586894:nn68c06.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1089034 /clone_end=3  /gb=AA586894 /gi=2397708 /ug=Hs.112408 /len=443,34458_at
Cluster Incl. U50529:Human BRCA2 region, mRNA sequence CG016 /cds=UNKNOWN /gb=U50529 /gi=1531600 /ug=Hs.112434 /len=2812,34459_at
Cluster Incl. AB014512:Homo sapiens mRNA for KIAA0612 protein, partial cds /cds=(0,5212) /gb=AB014512 /gi=3327037 /ug=Hs.112499 /len=6458,34460_at
Cluster Incl. D67035:Homo sapiens mRNA for SCP-1, complete cds /cds=(176,3097) /gb=D67035 /gi=2467368 /ug=Hs.112743 /len=3446,34461_at
Cluster Incl. U38254:Human amiloride sensitive sodium channel delta subunit (dNaCh) mRNA, complete cds /cds=(0,1916) /gb=U38254 /gi=1066456 /ug=Hs.112842 /len=1917,34462_at
Cluster Incl. M55983:Human DNase I mRNA, complete cds /cds=(159,1007) /gb=M55983 /gi=181623 /ug=Hs.113221 /len=1039,34463_at
Cluster Incl. X13227:Human mRNA for D-amino acid oxidase (EC 1.4.3.3) /cds=(200,1243) /gb=X13227 /gi=30445 /ug=Hs.113227 /len=1633,34464_at
Cluster Incl. AF014459:Homo sapiens X-linked juvenile retinoschisis precursor protein (XLRS1) mRNA, complete cds /cds=(15,689) /gb=AF014459 /gi=3169694 /ug=Hs.113250 /len=2772,34465_at
Cluster Incl. Y12505:H.sapiens mRNA for serotonin receptor 5-HT4B, splice variant /cds=(18,1184) /gb=Y12505 /gi=2661756 /ug=Hs.113262 /len=1328,34466_at
Cluster Incl. Y12505:H.sapiens mRNA for serotonin receptor 5-HT4B, splice variant /cds=(18,1184) /gb=Y12505 /gi=2661756 /ug=Hs.113262 /len=1328,34467_g_at
Cluster Incl. Y08756:H.sapiens mRNA for serotonin receptor 5-HT4 /cds=(18,1181) /gb=Y08756 /gi=2661732 /ug=Hs.113262 /len=1336,34468_at
Cluster Incl. X84746:H.sapiens Histo-blood group AB0 gene, exon 1 /cds=(0,1064) /gb=X84746 /gi=732765 /ug=Hs.113271 /len=1065,34469_at
Cluster Incl. D43945:Homo sapiens mRNA for TFEC isoform (or TFECL), complete cds /cds=(182,1225) /gb=D43945 /gi=2347002 /ug=Hs.113274 /len=1805,34470_at
Cluster Incl. M36769:Homo sapiens perinatal myosin heavy chain mRNA, complete cds /cds=(73,5886) /gb=M36769 /gi=189033 /ug=Hs.113973 /len=6016,34471_at
Cluster Incl. AB012911:Homo sapiens mRNA for Frizzled-6, complete cds /cds=(258,2378) /gb=AB012911 /gi=3062802 /ug=Hs.114218 /len=3342,34472_at
Cluster Incl. AF051151:Homo sapiens Toll/interleukin-1 receptor-like protein 3 (TIL3) mRNA, complete cds /cds=(703,3279) /gb=AF051151 /gi=3132525 /ug=Hs.114408 /len=3431,34473_at
Cluster Incl. W28429:49e1 Homo sapiens cDNA /gb=W28429 /gi=1308584 /ug=Hs.114746 /len=776,34474_at
Cluster Incl. L34408:Homo Sapiens (clone B3B3E13) chromosome 4p16.3 DNA fragment /cds=UNKNOWN /gb=L34408 /gi=600518 /ug=Hs.114963 /len=1677,34475_at
Cluster Incl. D30783:Homo sapiens mRNA for epiregulin, complete cds /cds=(166,675) /gb=D30783 /gi=2381480 /ug=Hs.115263 /len=4627,34476_r_at
Cluster Incl. AF000994:Homo sapiens ubiquitous TPR motif, Y isoform (UTY) mRNA, alternative transcript 3, complete cds /cds=(1005,5048) /gb=AF000994 /gi=2580573 /ug=Hs.115277 /len=6466,34477_at
Cluster Incl. X79780:H.sapiens YPT3 mRNA /cds=(6,662) /gb=X79780 /gi=763129 /ug=Hs.115279 /len=701,34478_at
Cluster Incl. D88532:Homo sapiens mRNA for p55pik, complete cds /cds=(420,1805) /gb=D88532 /gi=1661000 /ug=Hs.115300 /len=3371,34479_at
Cluster Incl. AF016272:Homo sapiens Ksp-cadherin (CDH16) mRNA, complete cds /cds=(37,2526) /gb=AF016272 /gi=3523100 /ug=Hs.115418 /len=2764,34480_at
Cluster Incl. AF030227:untitled /cds=(97,2634) /gb=AF030227 /gi=3282618 /ug=Hs.116237 /len=2888,34481_at
Cluster Incl. AF040964:Homo sapiens unknown protein IT1 mRNA, partial cds /cds=(0,1816) /gb=AF040964 /gi=2792363 /ug=Hs.116771 /len=1903,34482_at
Cluster Incl. D86358:Homo sapiens mRNA for CD33L1, complete cds /cds=(236,1564) /gb=D86358 /gi=2913994 /ug=Hs.117992 /len=2809,34483_at
Cluster Incl. AI961669:wt65e11.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2512364 /clone_end=3  /gb=AI961669 /gi=5754382 /ug=Hs.118249 /len=565,34484_at
Cluster Incl. M21868:Human polymorphic epithelial mucin core protein mRNA, 3  end /cds=(0,182) /gb=M21868 /gi=188857 /ug=Hs.118249 /len=275,34485_r_at
Cluster Incl. U88897:Human endogenous retroviral H D2 leader region, protease region, and integrase/envelope region mRNA sequence /cds=UNKNOWN /gb=U88897 /gi=2104917 /ug=Hs.11828 /len=1004,34486_at
Cluster Incl. AI022655:ox05g12.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1655494 /clone_end=3  /gb=AI022655 /gi=3237896 /ug=Hs.11828 /len=503,34487_at
Cluster Incl. AF066065:untitled /cds=(136,1614) /gb=AF066065 /gi=3172530 /ug=Hs.118555 /len=1664,34488_i_at
Cluster Incl. AF066065:untitled /cds=(136,1614) /gb=AF066065 /gi=3172530 /ug=Hs.118555 /len=1664,34489_f_at
Cluster Incl. AI189621:qd32h05.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1725465 /clone_end=3  /gb=AI189621 /gi=3740830 /ug=Hs.118555 /len=782,34490_f_at
Cluster Incl. AJ225089:Homo sapiens mRNA for 2-5  oligoadenylate synthetase 59 kDa isoform /cds=(6,1550) /gb=AJ225089 /gi=3451239 /ug=Hs.118633 /len=1820,34491_at
Cluster Incl. AL035297:H.sapiens gene from PAC 747L4 /cds=(72,554) /gb=AL035297 /gi=4200248 /ug=Hs.119254 /len=1155,34492_at
Cluster Incl. AF014794:Homo sapiens TNF related TRAIL receptor (TRAIL-R3) mRNA, complete cds /cds=(29,928) /gb=AF014794 /gi=2957263 /ug=Hs.119684 /len=1365,34493_at
Cluster Incl. AJ003125:Homo sapiens mRNA for procollagen I-N proteinase /cds=(0,3635) /gb=AJ003125 /gi=3927999 /ug=Hs.120330 /len=3636,34494_at
Cluster Incl. AJ011733:Homo sapiens mRNA for synaptogyrin 4 protein /cds=(109,813) /gb=AJ011733 /gi=4128018 /ug=Hs.120857 /len=872,34495_r_at
Cluster Incl. AB017165:Homo sapiens PIG-L mRNA, complete cds /cds=(5,763) /gb=AB017165 /gi=4239985 /ug=Hs.120993 /len=1123,34496_at
Cluster Incl. L39061:Homo sapiens transcription factor SL1 mRNA, partial cds /cds=(0,1670) /gb=L39061 /gi=632997 /ug=Hs.121044 /len=1703,34497_at
Cluster Incl. D89974:Homo sapiens mRNA for glycosylphosphatidyl inositol-anchored protein GPI-80, complete cds /cds=(11,1573) /gb=D89974 /gi=5541649 /ug=Hs.121102 /len=2004,34498_at
Cluster Incl. M86407:Homo sapiens alpha actinin 3 (ACTN3) mRNA, complete cds /cds=(18,2723) /gb=M86407 /gi=178057 /ug=Hs.1216 /len=2858,34499_at
Cluster Incl. X94700:H.sapiens mRNA for calcium binding protein (HCALB_BR) /cds=(94,306) /gb=X94700 /gi=4454264 /ug=Hs.121811 /len=664,34500_at
Cluster Incl. L40992:Homo sapiens (clone PEBP2aA1) core-binding factor, runt domain, alpha subunit 1 (CBFA1) mRNA, 3  end of cds /cds=(0,1322) /gb=L40992 /gi=735897 /ug=Hs.121895 /len=1411,34501_at
Cluster Incl. L40992:Homo sapiens (clone PEBP2aA1) core-binding factor, runt domain, alpha subunit 1 (CBFA1) mRNA, 3  end of cds /cds=(0,1322) /gb=L40992 /gi=735897 /ug=Hs.121895 /len=1411,34502_g_at
Cluster Incl. AF007146:Homo sapiens clone 23686 and 23885 mRNA sequences /cds=UNKNOWN /gb=AF007146 /gi=2852624 /ug=Hs.122075 /len=1991,34503_at
Cluster Incl. U20530:Human bone phosphoprotein spp-24 precursor mRNA, complete cds /cds=(0,635) /gb=U20530 /gi=1195462 /ug=Hs.12230 /len=636,34504_at
Cluster Incl. AL109725:Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 362890 /cds=UNKNOWN /gb=AL109725 /gi=5689831 /ug=Hs.122679 /len=1396,34505_at
Cluster Incl. M13928:Human delta-aminolevulinate dehydratase mRNA, complete cds /cds=UNKNOWN /gb=M13928 /gi=178328 /ug=Hs.1227 /len=1154,34506_at
Cluster Incl. AB029002:Homo sapiens mRNA for KIAA1079 protein, complete cds /cds=(293,4657) /gb=AB029002 /gi=5689494 /ug=Hs.122708 /len=4954,34507_s_at
Cluster Incl. AI971726:wr07a08.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2480822 /clone_end=3  /gb=AI971726 /gi=5768552 /ug=Hs.122708 /len=671,34508_r_at
Cluster Incl. AF016833:Homo sapiens maltase-glucoamylase mRNA, complete cds /cds=(54,5627) /gb=AF016833 /gi=2826520 /ug=Hs.122785 /len=6483,34509_at
Cluster Incl. AF070552:Homo sapiens clone 24767 mRNA sequence /cds=UNKNOWN /gb=AF070552 /gi=3387916 /ug=Hs.122908 /len=1465,34510_at
Cluster Incl. AL080148:Homo sapiens mRNA; cDNA DKFZp434B204 (from clone DKFZp434B204) /cds=(0,3027) /gb=AL080148 /gi=5262600 /ug=Hs.123004 /len=3177,34511_s_at
Cluster Incl. J03853:Human kidney alpha-2-adrenergic receptor mRNA, complete cds /cds=(38,1423) /gb=J03853 /gi=178193 /ug=Hs.123022 /len=1491,34512_at
Cluster Incl. M31774:Human thyrotropin receptor (TSH) mRNA, complete cds /cds=(100,2394) /gb=M31774 /gi=340003 /ug=Hs.123078 /len=2470,34513_at
Cluster Incl. S49816:thyrotropin receptor-I {alternatively spliced} [human, thyroid, mRNA, 793 nt] /cds=(21,782) /gb=S49816 /gi=260246 /ug=Hs.123078 /len=793,34514_at
Cluster Incl. S49816:thyrotropin receptor-I {alternatively spliced} [human, thyroid, mRNA, 793 nt] /cds=(21,782) /gb=S49816 /gi=260246 /ug=Hs.123078 /len=793,34515_g_at
Cluster Incl. U58130:Human bumetanide-sensitive Na-K-2Cl cotransporter (NKCC2) mRNA, complete cds /cds=(19,3318) /gb=U58130 /gi=1373424 /ug=Hs.123116 /len=3362,34516_at
Cluster Incl. X66435:H.sapiens mRNA for HMG-CoA-synthase /cds=(122,1684) /gb=X66435 /gi=30008 /ug=Hs.123132 /len=1685,34517_at
Cluster Incl. AB028984:Homo sapiens mRNA for KIAA1061 protein, partial cds /cds=(0,2083) /gb=AB028984 /gi=5689458 /ug=Hs.123420 /len=4719,34518_at
Cluster Incl. M59305:Human atrial natriuretic peptide clearance receptor (ANP C-receptor) mRNA, complete cds /cds=(362,1987) /gb=M59305 /gi=178651 /ug=Hs.123655 /len=2081,34519_at
Cluster Incl. AJ012582:Homo sapiens mRNA for hyperpolarization-activated cation channel HCN2 /cds=(53,2722) /gb=AJ012582 /gi=4775348 /ug=Hs.124161 /len=3406,34520_at
Cluster Incl. AB001872:Homo sapiens mRNA for leucine zipper bearing kinase, complete cds /cds=(272,3172) /gb=AB001872 /gi=2879897 /ug=Hs.124224 /len=3557,34521_at
Cluster Incl. AF070625:Homo sapiens clone 24734 mRNA sequence /cds=UNKNOWN /gb=AF070625 /gi=3283891 /ug=Hs.12440 /len=1710,34522_at
Cluster Incl. M13654:Human apolipoprotein A-IV gene, partial cds /cds=(51,1241) /gb=M13654 /gi=178758 /ug=Hs.1247 /len=1403,34523_at
Cluster Incl. AF052109:Homo sapiens clone 23927 mRNA sequence /cds=UNKNOWN /gb=AF052109 /gi=3360416 /ug=Hs.12473 /len=2477,34524_at
Cluster Incl. AB018563:Homo sapiens TML1 mRNA, complete cds /cds=(30,416) /gb=AB018563 /gi=4587305 /ug=Hs.124931 /len=1722,34525_at
Cluster Incl. AF052108:Homo sapiens clone 23687 mRNA sequence /cds=UNKNOWN /gb=AF052108 /gi=3360415 /ug=Hs.12513 /len=1684,34526_s_at
Cluster Incl. AF052108:Homo sapiens clone 23687 mRNA sequence /cds=UNKNOWN /gb=AF052108 /gi=3360415 /ug=Hs.12513 /len=1684,34527_r_at
Cluster Incl. AI954713:wq32c11.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-2472980 /clone_end=3  /gb=AI954713 /gi=5747023 /ug=Hs.12513 /len=570,34528_at
Cluster Incl. W26760:12d6 Homo sapiens cDNA /gb=W26760 /gi=1305844 /ug=Hs.125170 /len=774,34529_at
Cluster Incl. W73822:zd52f10.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-344299 /clone_end=3  /gb=W73822 /gi=1383975 /ug=Hs.125170 /len=629,34530_at
Cluster Incl. AF007139:Homo sapiens clone 23898 unknown mRNA, partial cds /cds=(0,740) /gb=AF007139 /gi=2852614 /ug=Hs.12523 /len=1388,34531_at
Cluster Incl. AF035318:Homo sapiens clone 23705 mRNA sequence /cds=UNKNOWN /gb=AF035318 /gi=2661081 /ug=Hs.12533 /len=1654,34532_at
Cluster Incl. AF038192:Homo sapiens clone 23808 mRNA sequence /cds=UNKNOWN /gb=AF038192 /gi=2795912 /ug=Hs.12537 /len=1187,34533_at
Cluster Incl. AC003965:Homo sapiens chromosome 16, cosmid clone 325D7, complete sequence /cds=(0,815) /gb=AC003965 /gi=2734091 /ug=Hs.125532 /len=816,34894_r_at
Cluster Incl. AB019435:Homo sapiens mRNA for putative phospholipase, complete cds /cds=(72,3074) /gb=AB019435 /gi=4760646 /ug=Hs.125670 /len=3088,34895_at
Cluster Incl. AA884713:am18f08.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1467207 /clone_end=3  /gb=AA884713 /gi=2994694 /ug=Hs.125670 /len=501,34896_at
Cluster Incl. W26524:32g4 Homo sapiens cDNA /gb=W26524 /gi=1307385 /ug=Hs.125682 /len=722,34897_at
Cluster Incl. M30704:Human amphiregulin (AR) mRNA, complete cds, clones lambda-AR1 and lambda-AR2 /cds=(209,967) /gb=M30704 /gi=179039 /ug=Hs.1257 /len=1230,34898_at
Cluster Incl. AB020654:Homo sapiens mRNA for KIAA0847 protein, partial cds /cds=(0,1938) /gb=AB020654 /gi=4240182 /ug=Hs.125836 /len=3386,34899_at
Cluster Incl. AF046873:Homo sapiens synapsin IIIa mRNA, complete cds /cds=(36,1778) /gb=AF046873 /gi=3090888 /ug=Hs.125878 /len=2153,34900_at
Cluster Incl. AF079564:Homo sapiens ubiquitin-specific protease UBP41 (UBP41) mRNA, complete cds /cds=(54,1115) /gb=AF079564 /gi=3386549 /ug=Hs.125902 /len=1152,34901_at
Cluster Incl. AB007961:Homo sapiens mRNA, chromosome 1 specific transcript KIAA0492 /cds=UNKNOWN /gb=AB007961 /gi=3413935 /ug=Hs.127338 /len=5929,34902_at
Cluster Incl. AI017382:ou92e06.x1 Homo sapiens cDNA, 3  end /clone=IMAGE-1635298 /clone_end=3  /gb=AI017382 /gi=3231718 /ug=Hs.127986 /len=578,34903_at
Cluster Incl. S40369:glutamate receptor subunit=kainate receptor subunit [human, hippocampus, mRNA, 2943 nt] /cds=(0,2942) /gb=S40369 /gi=251839 /ug=Hs.128095 /len=2943,34904_at
Cluster Incl. AA977136:oq24f02.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1587291 /clone_end=3  /gb=AA977136 /gi=3154582 /ug=Hs.128095 /len=583,34905_at
Cluster Incl. AA977136:oq24f02.s1 Homo sapiens cDNA, 3  end /clone=IMAGE-1587291 /clone_end=3  /gb=AA977136 /gi=3154582 /ug=Hs.128095 /len=583,34906_g_at
Cluster Incl. AB014541:Homo sapiens mRNA for KIAA0641 protein, complete cds /cds=(412,4035) /gb=AB014541 /gi=3327095 /ug=Hs.128316 /len=5140,34907_at
Cluster Incl. AL049329:Homo sapiens mRNA; cDNA DKFZp564G196 (from clone DKFZp564G196) /cds=(0,213) /gb=AL049329 /gi=4500104 /ug=Hs.128384 /len=2767,34908_at
Cluster Incl. AC004990:Homo sapiens PAC clone DJ1185I07 from 7q11.23-q21 /cds=(0,1766) /gb=AC004990 /gi=3924668 /ug=Hs.128653 /len=1767,34909_at
Cluster Incl. AL050389:Homo sapiens mRNA; cDNA DKFZp564F013 (from clone DKFZp564F013) /cds=UNKNOWN /gb=AL050389 /gi=4914570 /ug=Hs.128653 /len=1288,34910_s_at
Cluster Incl. AL050389:Homo sapiens mRNA; cDNA DKFZp564F013 (from clone DKFZp564F013) /cds=UNKNOWN /gb=AL050389 /gi=4914570 /ug=Hs.128653 /len=1288,34911_r_at
Cluster Incl. AF052941:Homo sapiens DAP-kinase related protein 1 mRNA, complete cds /cds=(31,1143) /gb=AF052941 /gi=3560542 /ug=Hs.129208 /len=1742,34912_at
Cluster Incl. L33798:Human dihydropyridine-sensitive L-type calcium channel alpha-1 subunit (CACNL1A3) mRNA, complete cds /cds=(225,5846) /gb=L33798 /gi=563322 /ug=Hs.1294 /len=6160,34913_at
Cluster Incl. U94778:Human PEST phosphatase interacting protein homolog (H-PIP) mRNA, complete cds /cds=(216,1466) /gb=U94778 /gi=4100161 /ug=Hs.129758 /len=1656,34914_at
Cluster Incl. M91368:Human Na+/Ca+ exchanger (CNC) mRNA, complete cds /cds=(80,3001) /gb=M91368 /gi=180672 /ug=Hs.129763 /len=3250,34915_at
Cluster Incl. S76792:OX40=cell surface antigen [human, mRNA Partial, 1034 nt] /cds=(0,824) /gb=S76792 /gi=913405 /ug=Hs.129780 /len=1034,34916_s_at
Cluster Incl. X75962:H.sapiens mRNA for OX40 homologue /cds=(5,838) /gb=X75962 /gi=472957 /ug=Hs.129780 /len=1358,34917_at
Cluster Incl. AF049498:Homo sapiens sodium channel beta 2 subunit (SCN2B) mRNA, complete cds /cds=(172,819) /gb=AF049498 /gi=2944401 /ug=Hs.129783 /len=1113,34918_at
Cluster Incl. AJ223957:Homo sapiens mRNA for ARNO3 protein /cds=(25,1224) /gb=AJ223957 /gi=2909436 /ug=Hs.129811 /len=1893,34919_at
Cluster Incl. AB006684:Homo sapiens APECED gene for AIRE-1, AIRE-2, AIRE-3, complete cds /cds=(236,1282) /gb=AB006684 /gi=2696618 /ug=Hs.129829 /len=1545,34920_at
Cluster Incl. AB007880:Homo sapiens KIAA0420 mRNA, complete cds /cds=(0,1695) /gb=AB007880 /gi=2887414 /ug=Hs.129883 /len=5879,34921_at
Cluster Incl. AF047826:Homo sapiens cadherin-7 (CDH7) mRNA, partial cds /cds=(0,953) /gb=AF047826 /gi=2935422 /ug=Hs.129887 /len=1445,34922_at
Cluster Incl. AB011094:Homo sapiens mRNA for KIAA0522 protein, partial cds /cds=(0,4682) /gb=AB011094 /gi=3043567 /ug=Hs.129892 /len=6021,34923_at
Cluster Incl. AB011163:Homo sapiens mRNA for KIAA0591 protein, partial cds /cds=(0,4017) /gb=AB011163 /gi=3043705 /ug=Hs.129908 /len=5368,34924_at
Cluster Incl. AB003062:Homo sapiens MYPT2 mRNA, complete cds /cds=(163,3111) /gb=AB003062 /gi=3157493 /ug=Hs.130760 /len=3763,34925_at
Cluster Incl. M28825:Human thymocyte antigen CD1a mRNA, complete cds /cds=(533,1516) /gb=M28825 /gi=180035 /ug=Hs.1309 /len=2072,34926_at
Cluster Incl. M28826:Human thymocyte antigen CD1b mRNA, complete cds /cds=(45,1046) /gb=M28826 /gi=180055 /ug=Hs.1310 /len=1295,34927_at
